Número,Nombre completo,Partido,Trabajó con Petro,Es cercano a Samuel Moreno,Tiene un vínculo directo o indirecto con el carrusel de la contratación,Tiene padrino político,Fue candidato presidencial,Es concejal,Fue concejal,Es víctima,Ha ocupado cargos públicos,Ha estado en más de dos partidos,Tiene maquinaria ,Es delfín,Es mujer,Es cabeza de lista,perfilito,Link foto
77,Donka Atanassova Iakimorra,Polo,si,,,,,,,,si,si,,,si,,"Esta socióloga búlgara, que lleva en Colombia más de veinte años y renunció a su nacionalidad búlgara para lanzarse a la Cámara en el 2014. Viene del Polo Democrático, donde hacía parte del Comité de Ética y fue una de las voces que dijo que el Comité Ejecutivo había expulsado ilegalmente al Partido Comunista de ese partido. Después de que se quemó, entró a la Administración de Gustavo Petro donde fue Directora de Seguridad en la Secretaría de Gobierno pero renunció en octubre para no inhabilitarse. Aunque fue una de las que sonó para integrar la lista Progresistas en Bogotá, terminó inscribiendose en el Polo.",http://lasillavacia.com/archivos/historias/concejobogota2015/77.jpg
44,Edward Anibal Arias Rubio,Alianza Verde,,,,,,si,,,si,,,,,,"Es médico de la Universidad Javeriana con una maestría en administración en negocios de la Universidad de los Andes. Ha sido dos veces concejal en los dos últimos períodos, las dos veces por el Partido Verde. En el 2011, duplicó su votación a más de 18 mil votos. ",http://lasillavacia.com/archivos/historias/concejobogota2015/44.jpg
98,Eliana Sandoval,Alianza Verde,,,,,,,,,,,,,,,"Politóloga y líder de la campaña ""salvemos Transmilenio"". Es miembro de La Silla Cachaca. ",http://lasillavacia.com/archivos/historias/concejobogota2015/82.jpg
103,Fabio Macea Acuña,Cambio Radical,,,,,,,si,,si,,,,,,"Este abogado y politólogo, fue concejal varias veces por el partido Liberal durante los gobiernos de Peñalosa y Mockus. Se lanzó a la Cámara en 2002 y se quemó con 11 mil votos. ",http://lasillavacia.com/archivos/historias/concejobogota2015/103.jpg
36,Fernando Rojas Parra,Asi,,,,,,,,,si,,,,,,"
Politólogo de la Universidad de los Andes con maestrías en gestión urbana en la Universidad Católica del Paraná, en Brasil, y en historia de la Universidad de los Andes. Ha sido profesor de las universidades Javeriana y del Rosario y analista y columnista en diversos medios de comunicación en temas de movilidad. Hasta antes de lanzarse, trabajó como asesor de movilidad en la UAN del concejal Juan Carlos Flórez.",http://lasillavacia.com/archivos/historias/concejobogota2015/36.jpg
67,Fernando Vásquez Bustos,Conservador,,,,,,si,,,si,,,,,,"Ex edil de Usme y candidato al Concejo hace cuatro años por los godos. Se quemó pero llegó al Concejo a reemplazar a Omar Mejía, luego de que fuera imputado por el carrusel de la contratación. ",http://lasillavacia.com/archivos/historias/concejobogota2015/67.jpg
124,Ferney Gustavo Páez,Libres,,,,,,,,,,,si,si,,,"Pastor del Centro de Alabanza, hijo del también pastor Gustavo Páez tuviera el aval del PIN y sacara más de 30 mil votos a la alcaldía en 2011.",http://lasillavacia.com/archivos/historias/concejobogota2015/124.jpg
106,Flavio Maya,Conservador,,,,,,,si,,si,,,,,,"Fue concejal en 2002 con 11.423 votos de una lista en la que el segundo renglón era José Juan Rodríguez, el ex concejal investigado por el carrusel de la contratación.  Ese año estuvo en un lío que investigó la Procuraduría por tráfico de influencias. Antes había sido dirigente sindical de la Asociación Distrital de Educadores (ADE) y de Fecode (de donde fue expulsado) y auditor general de la Aeronáutica Civil. Entre 1984 y 1987, se desempeñó como Personero Delegado para lo penal. Posteriormente estuvo en la secretaría General del Instituto de Fomento Industrial (IFI). En 1997 se lanzó solo por primera vez al Concejo y se quemó. El año pasado se anunció como precandidato a la Alcaldía de Bogotá. ",http://lasillavacia.com/archivos/historias/concejobogota2015/106.jpg
32,Gabriel Benavides,Progresistas,si,,,,,,,,si,,,,,,"Fue jefe de prensa de Progresistas y asesor de la campaña Gustavo Petro y de Antonio Navarro. Después de la campaña trabajó en la formación de Progrsistas. Se inscribió a la Cámara pero no quedó como candidato y por eso, apoyó a Angélica Lozano. Es literato de la Universidad Autónoma. ",http://lasillavacia.com/archivos/historias/concejobogota2015/32.jpg
16,Germán García Maya,Liberal,,,,si,,,,,,,,si,,,"Hijo del actual Concejal también por el liberalismo, Germán García Zacipa, uno de los concejales que hizo parte de la coalición de Gobierno de Samuel Moreno en el Concejo. Tiene 26 años y es abogado de la Universidad del Rosario. Está haciendo campaña con su papá. ",http://lasillavacia.com/archivos/historias/concejobogota2015/16.jpg
19,Germán Ricaurte,Liberal,,,,si,,,,,si,,,si,,,"Actual edil de Chapinero. Es la ficha al Concejo del senador Juan Manuel Galán y la Representante por Bogotá, Clara Rojas. Fue secretario del directorio Liberal distrital. Estudiante de último semestre de economía en la Universidad de Los Andes. Apela al voto de opinión. ",http://lasillavacia.com/archivos/historias/concejobogota2015/19.jpg
114,Gilberto Serpa Mendoza,Opción Ciudadana,,,,,,,,,si,si,,,,,"De origen conservador, fue gobernador del Caquetá por designación en los años 80 del siglo XX. Fue administrador de terrenos de la DNE (por los que terminó peleando con esa entidad), y en 2010 volvió a buscar el aval conservador para la gobernación de Caquetá, pero perdió la consulta frente a Arnulfo Gasca: solo sacó 72 votos. En 2011 fue precandidato del partido Pais al concejo de Bogotá, pero finalmente la lista no fue a las elecciones. En las elecciones al Senado aspiró por Opción Ciudadana pero se retiró en la mitad de la contienda por diferencias con el partido. Es primo del senador Horacio Serpa Uribe.",http://lasillavacia.com/archivos/historias/concejobogota2015/114.jpg
83,Gilma Gómez ,Polo,,,,si,,,,,,,,,si,,"Es educadora y profesora en varios colegios públicos de Bogotá. Es la candidata del colectivo Vamos por los Derechos, en cabeza del senador Iván Cepeda y el Representante a la Cámara, Alirio Uribe.",http://lasillavacia.com/archivos/historias/concejobogota2015/83.jpg
10,Gina Alexandra Erazo Grajales,Centro Democrático,,,,si,,,,,si,si,si,,si,,"Dos veces edil de la localidad de Fontibón, en 2007 y 2011. La primera vez aspiró por el partido Cambio Radical y la segunda por La U. Renunció a su curul en junio del año pasado, para evitar inhabilitarse. Es líder de las juventudes de la Iglesia de Misión Carsimática Internacional.",http://lasillavacia.com/archivos/historias/concejobogota2015/10.jpg
108,Gloria Elsy Díaz,Conservador,,,,,,,,,si,,si,,,,"Se quemó hace cuatro años con 6.700 votos. Fue gerente departamental Contraloría General en Boyacá, edil de Santa Fé en 2007 por Cambio Radical. Estudió gobierno y relaciones internacionales.",http://lasillavacia.com/archivos/historias/concejobogota2015/108.jpg
30,Gloria Eugenia Oramas Bautista,Progresistas,si,,,,,,,,si,,si,,si,,"Edil de Teusaquillo, elegida por Progresistas hace cuatro años y una de las que renunció a la fusión con los verdes. Fue una de las ediles que denunció el carrusel de la contratación junto con el entonces candidato Gustavo Petro. Además, es la ex esposa de Augusto Rodríguez, la mano derecha del alcalde. ",http://lasillavacia.com/archivos/historias/concejobogota2015/30.jpg
26,Gloria Stella Díaz,Mira,,,,,,,si,,si,,si,,si,si,"Después de quemarse en su intento de saltar al Senado el año pasado, la ex representante bogotana del Mira se bajó al Concejo de Bogotá. Es abogada de la Universidad Libre. Llegó a la Cámara por primera vez en el 2006 como primer renglón de una lista cerrada que logró 52 mil votos y repitió en 2010 con 82 mil. Ahora Díaz encabeza la lista al concejo del Mira que cambió de estrategia para estas elecciones. Por primera vez, la lista será abierta y además, están buscando alianzas con otros partidos y van a apoyar a la Alcaldía a Rafael Pardo. La encargada de esos acercamientos fue Díaz.",http://lasillavacia.com/archivos/historias/concejobogota2015/26.jpg
62,Henry Castro,Cambio Radical,,,si,,,,si,,si,,si,,,,"Ex concejal de Bogotá, en 2011 se quemó con casi 11 mil votos y fue uno de los candidatos que hasta última hora estuvo pujando por una curul. Es líder de Corabastos, donde tiene su fortín político. Actualmente está investigado disciplinariamente por la Procuraduría por su participación en el carrusel de contratos. ",http://lasillavacia.com/archivos/historias/concejobogota2015/62.jpg
78,Hermán Redondo ,Polo,,si,,,,,si,,si,,si,,,,"Es médico y fue concejal en el año 2006 cuando reemplazó a Guillermo Fino en su curul después de que resultó condenado por pedir una comisión a cambio de un contrato cuando era gerente del Seguro Social. Luego Redondo fue Director de Desarrollo de Servicios en la Secretaría de Salud entre el 2010 y 2013, cuando el Secretario era el condenado por el carrusel de la contratación, Héctor Zambrano. Y en el último año fue asesor médico de la Defensoría del Pueblo. Es santandereano y cercano al ex alcalde Samuel Moreno. En estas elecciones se inscribió por el Polo y cuenta con el apoyo del saliente concejal, Orlando Santiesteban.",http://lasillavacia.com/archivos/historias/concejobogota2015/78.jpg
29,Hollman Felipe Morris Rincón,Progresistas,si,,,si,,,,,si,,,,,si,"Morris renunció el año pasado a la gerencia de Canal Capital para no inhabilitarse porque quería aspirar a la Alcaldía por el progresismo que todavía se escribe con P de Petro. Sin embargo, tras muchas discusiones y peleas internas con la otra pre candidata, María Mercedes Maldonado, renunció a su candidatura y se quedó con la cabeza de lista al Concejo. Y tuvo que recoger firmas de la mano de Maldonado después de que el acuerdo con el Mais -para que éste avalara a los progresistas- se cayó, al menos en Bogotá. Es novato en la política. Hasta ahora sólo tiene la experiencia de trabajar en la campaña presidencial de Lucho Garzón en el 2002.",http://lasillavacia.com/archivos/historias/concejobogota2015/29.jpg
11,Horacio Jose Serpa,Liberal,,,,si,,si,,,si,,si,,,si,"El hijo del ex gobernador de Santander y senador actual, Horacio Serpa, quiere repetir en el Concejo y está, otra vez, como cabeza de lista. Hace cuatro años logró la segunda mayor votación al Concejo con 26.827 votos, sin embargo, quedó en el promedio en la evaluación de Concejo Cómo Vamos del segundo semestre de 2014: sacó un puntaje de 52.5 por ciento, es decir, logró el lugar 28 entre los 45 concejales. Además de ser concejal en este último período, Serpa fue secretario privado de Rafael Pardo en la candidatura presidencial del 2010. Es administrador de empresas del Cesa. ",http://lasillavacia.com/archivos/historias/concejobogota2015/11.jpg
39,Hosman Martínez Moreno,Alianza Verde,,si,,,,si,,,si,,,,,,"Fue líder estudiantil 'antiencapuchados' en la Universidad Distrital y después llegó a la Jal de Fontibón. Se quemó en su intento de llegar al Concejo en 2007 por el Partido Verde Opción Centro. Fue subdirector local de la Secretaría de Integración Social en Engativá entre 2008 y 2009, durante la Alcaldía de Samuel Moreno, cuando la Secretaria era Mercedes del Carmen Ríos, reconocida amiga del condenado excontratista Julio Gómez e investigada por los mismos hechos. Es actual concejal de la Alianza Verde. Es ingeniero electrónico y abogado y tiene una maestría en economía. ",http://lasillavacia.com/archivos/historias/concejobogota2015/39.jpg
